นิติบุคคลจัดตั้งเดือนมกราคม  2558,,,,,,
ทั่วประเทศ,,,,,,
ที่,เลขทะเบียน,ชื่อนิติบุคคล,วันที่จดทะเบียน," ทุนจดทะเบียน
 (บาท) ",รายละเอียดวัตถุประสงค์,ที่ตั้งสำนักงานใหญ่
1,0105558004940,บจ.เอดับเบิ้ลยู (ไทยแลนด์) จำกัด,12/1/2558," 2,000,000,000 ",ผลิตเกียร์รถยนต์,1 อาคารกลาสเฮ้าส์ ชั้นที่ 12 ซอยสุขุมวิท 25 ถนนสุขุมวิท  แขวงคลองเตยเหนือ เขตวัฒนา กรุงเทพมหานคร 10110
2,0105558002009,บจ.โจงลี่ เทลซัน โซล่าร์ (ไทยแลนด์) จำกัด,7/1/2558," 884,000,000 ",ประกอบกิจการ ผลิต จำหน่าย การวิจัยและพัฒนาผลิตภัณฑ์ไฟฟ้าโซล่าร์เซลล์ พลังงานแสงอาทิตย์,67 ซอยปากน้ำกระโจมทอง 39  แขวงบางพรม เขตตลิ่งชัน กรุงเทพมหานคร 10170
3,0105558000316,บจ.เอส เมดิคอล จำกัด,5/1/2558," 800,000,000 ",ประกอบกิจการโรงพยาบาลเอกชน สถานพยาบาล รับรักษาคนไข้และผู้ป่วยเจ็บ,44 ถนนเสรีไทย  แขวงมีนบุรี เขตมีนบุรี กรุงเทพมหานคร 10510
4,0105558000561,บจ.ซี.เอ.เอส.แอสเซท ภูเก็ต จำกัด,5/1/2558," 300,000,000 ",ประกอบธุรกิจการค้าอสังหาริมทรัพย์ทุกชนิด เช่นซื้อ-ขายที่ดิน จัดสรรที่ดินโดยการซื้อหรือจัดหาที่ดิน,1 ถนนเจริญราษฎร์  แขวงทุ่งวัดดอน เขตสาทร กรุงเทพมหานคร 10120
5,0105558005776,บจ.เดอะ เอฟวัน จำกัด,13/1/2558," 200,000,000 ",ประกอบกิจการค้าอสังหาริมทรัพย์,67 ซอยจรัญสนิทวงศ์ 66/1 ถนนจรัญสนิทวงศ์  แขวงบางพลัด เขตบางพลัด กรุงเทพมหานคร 10700
6,0105558004494,บจ.บ้านพุทธรักษา 2015 จำกัด,9/1/2558," 150,000,000 ",การรับซื้อขายที่ดิน จัดสรรที่ดิน บ้าน สิ่งปลูกสร้าง สิ่งก่อสร้างสิ่งปลูกสร้างเพื่อจำหน่าย เช่า,43 ซอยพระรามที่ 2 ซอย 54  แขวงแสมดำ เขตบางขุนเทียน กรุงเทพมหานคร 10150
7,0105558015101,บจ.รสสินา จำกัด,27/1/2558," 138,000,000 ",โรงแรมรีสอร์ทและห้องชุดที่พักที่มีบริการขายอาหาร,230/1 ซอยกรุงธนบุรี 6 ถนนกรุงธนบุรี  แขวงบางลำภูล่าง เขตคลองสาน กรุงเทพมหานคร 10600
8,0105558008309,บจ.ไซโก โซลูชั่นส์ (ประเทศไทย) จำกัด,16/1/2558," 101,000,000 ",การค้าส่งและให้บริการเกี่ยวกับซอฟต์แวร์ รวมถึงเซนเซอร์ อุปกรณ์ที่เกี่ยวข้องกับซอฟต์แวร์,283/55 อาคารโฮมเพลสออฟฟิศ บิลดิ้ง ชั้น 11 ห้องเลขที่ 1106 ซอยสุขุมวิท 55  แขวงคลองตันเหนือ เขตวัฒนา กรุงเทพมหานคร 10110
9,0105558013884,บจ.เวิลด์ สมาร์ท เอ็นเนอร์จี จำกัด,23/1/2558," 100,000,000 ",ประกอบกิจการนำเข้า จำหน่าย ติดตั้ง อุปกรณ์ ชิ้นส่วน เกี่ยวกับถังก๊าซธรรมชาติ,118/1 ถนนวิภาวดีรังสิต  แขวงจอมพล เขตจตุจักร กรุงเทพมหานคร 10900
10,0105558003781,บจ.ไพร์ม โรด กรุ๊ป จำกัด,9/1/2558," 100,000,000 ",ผลิตและจำหน่ายพลังงานทดแทน,700 ถนนประดิษฐ์มนูธรรม  แขวงคลองเจ้าคุณสิงห์ เขตวังทองหลาง กรุงเทพมหานคร 10310
